X Y Tact Z ID NSD
0.00840188 -0.000528085 0.000429811 0.000117187 1 20000
0.000163006 -0.00128557 0.000859622 0.000117187 2 40000
0.00400229 0.00195765 0.00128943 0.000117187 3 60000
0.00192214 0.000816135 0.00171924 0.000117187 4 80000
0.00639979 -0.000729757 0.00214905 0.000117187 5 100000
0.00657304 0.00179338 0.00257886 0.000117187 6 120000
0.00950252 0.00210064 0.00300868 0.000117187 7 140000
0.00447034 -0.00136947 0.00343849 0.000117187 8 160000
0.000745298 0.00225052 0.0038683 0.000117187 9 180000
0.00176211 -0.00129969 0.00429811 0.000117187 10 200000
0.00999994 -0.00147836 0.00472792 0.000117187 11 220000
0.00359095 0.000262425 0.00515773 0.000117187 12 240000
0.00747809 0.00064455 0.00558754 0.000117187 13 260000
0.00074161 0.000665361 0.00601735 0.000117187 14 280000
0.00719269 -0.0019336 0.00644716 0.000117187 15 300000
0.00609106 0.000635789 0.00687697 0.000117187 16 320000
0.00260497 0.00188692 0.00730678 0.000117187 17 340000
0.00329642 -0.00155125 0.00773659 0.000117187 18 360000
0.00861917 -0.00148226 0.00816641 0.000117187 19 380000
0.00498144 0.000380998 0.00859622 0.000117187 20 400000
0.00908485 0.000610477 0.00902603 0.000117187 21 420000
0.0015123 -0.00213727 0.00945584 0.000117187 22 440000
0.00557561 -0.000369003 0.00988565 0.000117187 23 460000
0.000491625 -0.000254474 0.0103155 0.000117187 24 480000
0.00210883 -0.00013053 0.0107453 0.000117187 25 500000
0.00578635 0.000149496 0.0111751 0.000117187 26 520000
0.000700902 -0.00200581 0.0116049 0.000117187 27 540000
0.00315658 -0.000329957 0.0120347 0.000117187 28 560000
0.00555398 -0.0024271 0.0124645 0.000117187 29 580000
0.0053296 0.00171955 0.0128943 0.000117187 30 600000
1.12548e-05 -0.00247145 0.0133241 0.000117187 31 620000
0.00738959 0.00216242 0.0137539 0.000117187 32 640000
0.00935852 -0.000877293 0.0141838 0.000117187 33 660000
0.00775421 0.00147455 0.0146136 0.000117187 34 680000
0.00143982 -0.000434611 0.0150434 0.000117187 35 700000
0.00477361 0.00247582 0.0154732 0.000117187 36 720000
0.00737939 -0.000185739 0.015903 0.000117187 37 740000
0.00622167 -0.00154486 0.0163328 0.000117187 38 760000
0.00477961 -0.000699474 0.0167626 0.000117187 39 780000
0.00601427 0.00135343 0.0171924 0.000117187 40 800000
0.0094664 -0.00188837 0.0176222 0.000117187 41 820000
0.00614227 -0.00214722 0.0180521 0.000117187 42 840000
0.00356383 0.00248985 0.0184819 0.000117187 43 860000
0.00752479 -0.00101033 0.0189117 0.000117187 44 880000
